Components,Lost Load
"('-753810532_0', 'C29.0', 'C35.0', 'C50.0', 'C62.0', 'C41.0')",1.3800710441181518
"('-1827864536_0', 'C29.0', 'C35.0', 'C50.0', 'C62.0', 'C63.0', 'C41.0')",0.03149192639731382
"('C35.0', '27 hydro')",0.016987543701547113
"('1995198495_0', 'C35.0')",0.307644320171798
"('-1581250990_0', 'C62.0', 'C71.0')",0.09322012713877212
"('2035876983_0', '1342391373_0')",0.2695807003699552
"('-1234324271_0', 'C56.0')",0.0031555849053966087
"('1384506802_0', 'C62.0', 'C71.0', '16 hydro')",0.0050675124115714424
"('1007144354_0', 'C95.0', 'C84.0')",0.36580296532372497
"('-1581250990_0', 'C84.0', '14 hydro')",0.06981821195388602
"('-1581250990_0', 'C31.0', 'C69.0', '37-1 hydro')",0.4714898645486515
"('-1389783646_0', '-450422875_0', 'C68.0', 'C85.0')",0.5571075672366796
"('-1389783646_0', 'C68.0', 'C94.0', 'C85.0', 'C109.0')",3.520255999412388
"('-1389783646_0', 'C68.0', 'C94.0', 'C85.0')",0.5202899546023582
"('-1389783646_0', 'C68.0', 'C85.0', '19 hydro')",0.2241039925094651
"('-1389783646_0', 'C68.0', 'C99.0', 'C85.0', '19 hydro')",0.19629169420566722
"('-1382799058_0', 'C68.0', 'C99.0', 'C75.0', 'C85.0', '25 hydro', '19 hydro')",0.24849081321924904
"('-1382799058_0', 'C68.0', 'C99.0', 'C75.0', '25 hydro', '19 hydro')",0.2550854261307404
"('-1382799058_0', 'C68.0', 'C99.0', 'C75.0', '25 hydro')",0.22380178269893394
"('2009226556_0', 'C99.0', '25 hydro')",0.7441214921599695
"('591181987_0', 'C66.0', 'C94.0', 'C75.0')",0.04013157473865431
"('C66.0', 'C94.0', 'C75.0')",0.0683454940468987
"('1117936324_0', 'C66.0', 'C74.0', 'C94.0')",0.13987675069707073
"('1117936324_0', 'C66.0', 'C74.0')",0.03603648205252648
"('1117936324_0', 'C74.0')",0.34462186016240554
"('1117936324_0', 'C39.0', 'C74.0')",0.013192595635691307
"('1117936324_0', '-2037512606_0', 'C40.0')",0.2186001380247319
"('-2037512606_0', 'C40.0')",0.050431096153276025
"('C65.0', 'C40.0')",0.00011192480490672097
"('1117936324_0', 'C49.0', 'C40.0')",0.07286012354822197
"('1117936324_0', 'C49.0', 'C71.0', 'C40.0')",0.9472945886030892
"('2009226556_0', 'C49.0', 'C71.0', 'C40.0')",0.349280381932884
"('2009226556_0', 'C49.0', 'C40.0')",0.3449439432882951
"('-1559876706_0', 'C93.0')",0.05791477033162869
"('2000149022_0', '-1559876706_0', 'C93.0')",0.04796176721170764
"('-1559876706_0', '22 hydro')",0.04779429653132047
"('-1559876706_0', 'C62.0', '22 hydro')",0.002280028120838324
"('-929792848_0', 'C80.0')",1.1356934836819144
"('1385764829_0', 'C95.0')",0.021650587734915006
"('1385764829_0', 'C35.0', 'C95.0')",0.003872510496633822
"('1385764829_0', 'C35.0')",0.013952257337352421
"('-964455789_0', 'C57.0')",0.03319460903226945
"('-964455789_0', 'C29.0', 'C57.0')",0.014461958337149554
"('433304102_0', 'C46.0', 'C83.0')",0.027934093533525814
